arzt_id;stadt;fachrichtung;fachgruppe;bundesland;flaeche_km2;einwohner;anzahl_bewertungen;durchschnittsbewertung
10066073;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;7;1.49
10068736;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;15;2.68
10068737;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;54;3.03
10261102;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;31;1.83
10290943;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;40;1.9
11110085;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;36;1.3
11181743;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;43;2.5
11557644;Bad Homburg;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;6;1.14
11177821;Bad Homburg;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;2;1.6
11355679;Bad Homburg;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;55;2.34
11385940;Bad Homburg;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;39;1.7
11385941;Bad Homburg;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;40;1.76
11385942;Bad Homburg;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;23;1.7
11419957;Bad Homburg;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;42;1.83
11126059;Bad Homburg;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;14;1.56
11157129;Bad Homburg;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;31;1.45
11239495;Bad Homburg;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;26;1.34
11360920;Bad Homburg;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Hessen;51.14;56688.0;11;1.45
